english,russian,transcription,example,category,level
go,идти,[gəʊ],I go every chance I get,Путешествия и движение,A1
come,приходить,[kʌm],She comes more than anyone I know,Путешествия и движение,A1
turn,поворачивать,[tɜːn],They turned all night long,Путешествия и движение,A1
run,бежать,[rʌn],We should run before it's too late,Путешествия и движение,A1
move,двигать,[muːv],He moves like a professional,Путешествия и движение,A1
bring,приносить,[brɪŋ],You need to bring carefully,Путешествия и движение,A1
sit,сидеть,[sɪt],Please sit when you're ready,Путешествия и движение,A1
stand,стоять,[stænd],Don't stand unless absolutely necessary,Путешествия и движение,A1
follow,следовать,[ˈfɒləʊ],I've never followed anything like this,Путешествия и движение,A2
stop,останавливать,[stɒp],She used to stop all the time,Путешествия и движение,A1
walk,ходить,[wɔːk],They'll walk tomorrow morning,Путешествия и движение,A1
appear,появляться,[əˈpɪə],That appear reminds me of home,Путешествия и движение,A2
disappear,исчезать,[dˈɪsəpər],I wish I could disappear better,Путешествия и движение,A2
remain,оставаться,[rɪˈmeɪn],The old remain still works perfectly,Путешествия и движение,A2
leave,уходить,[liːv],We must leave together,Путешествия и движение,A1
raise,поднимать,[reɪz],Stop raiseing immediately!,Путешествия и движение,A2
carry,нести,[ˈkæri],I love to carry on weekends,Путешествия и движение,A2
drive,вести машину,[draɪv],Her drive won first prize,Путешествия и движение,A2
throw,бросать,[θrəʊ],They began to throw slowly,Путешествия и движение,A2
push,толкать,[pʊʃ],Keep pushing until you succeed,Путешествия и движение,A2
lay,класть,[leɪ],The lay exceeded expectations,Путешествия и движение,B1
lie,лежать,[laɪ],She promised to lie soon,Путешествия и движение,B1
arrive,прибывать,[əˈraɪv],We learned to arrive properly,Путешествия и движение,A2
shake,трясти,[ʃeɪk],He tends to shake too much,Путешествия и движение,B1
fly,летать,[flaɪ],You should fly more often,Путешествия и движение,B1
stay,оставаться,[steɪ],A rare stay was discovered,Путешествия и движение,A2
fall,падать,[fɔːl],She wants to fall someday,Путешествия и движение,A2
wear,носить,[weə],They decided to wear together,Путешествия и движение,A2
